Approach,,,,Retraction,
Distance (nm),Force (nN),,,Distance (nm),Force (nN)
1.23E+03,3.03E-02,,,1.02E+02,-2.57
1.23E+03,2.19E-02,,,1.04E+02,-2.73
1.22E+03,3.20E-02,,,1.06E+02,-2.93
1.22E+03,3.20E-02,,,1.08E+02,-3.13
1.22E+03,3.53E-02,,,1.10E+02,-3.33
1.21E+03,-1.68E-03,,,1.20E+02,-2.67
1.21E+03,4.21E-02,,,1.27E+02,-2.38
1.21E+03,1.85E-02,,,1.31E+02,-2.42
1.20E+03,4.04E-02,,,1.33E+02,-2.54
1.20E+03,3.70E-02,,,1.36E+02,-2.69
1.19E+03,3.53E-02,,,1.38E+02,-2.90
1.19E+03,1.35E-02,,,1.46E+02,-2.49
1.19E+03,2.36E-02,,,1.51E+02,-2.22
1.18E+03,2.02E-02,,,1.55E+02,-2.28
1.18E+03,2.86E-02,,,1.57E+02,-2.43
1.18E+03,1.01E-02,,,1.60E+02,-2.51
1.17E+03,3.87E-02,,,1.63E+02,-2.60
1.17E+03,1.35E-02,,,1.66E+02,-2.80
1.16E+03,1.52E-02,,,1.70E+02,-2.70
1.16E+03,2.02E-02,,,1.76E+02,-2.43
1.16E+03,3.53E-02,,,1.81E+02,-2.31
1.15E+03,2.19E-02,,,1.89E+02,-1.95
1.15E+03,2.36E-02,,,1.93E+02,-1.88
1.14E+03,3.87E-02,,,1.96E+02,-2.00
1.14E+03,3.20E-02,,,2.00E+02,-1.96
1.14E+03,2.69E-02,,,2.03E+02,-2.13
1.13E+03,8.42E-03,,,2.04E+02,-2.32
1.13E+03,3.37E-02,,,2.08E+02,-2.37
1.13E+03,3.87E-02,,,2.15E+02,-2.12
1.12E+03,2.36E-02,,,2.23E+02,-1.61
1.12E+03,1.35E-02,,,2.28E+02,-1.44
1.11E+03,1.52E-02,,,2.31E+02,-1.52
1.11E+03,1.35E-02,,,2.33E+02,-1.67
1.11E+03,4.54E-02,,,2.36E+02,-1.83
1.10E+03,2.36E-02,,,2.38E+02,-2.01
1.10E+03,2.86E-02,,,2.41E+02,-2.18
1.09E+03,1.52E-02,,,2.42E+02,-2.38
1.09E+03,2.86E-02,,,2.44E+02,-2.59
1.09E+03,2.69E-02,,,2.46E+02,-2.77
1.08E+03,3.03E-02,,,2.49E+02,-2.99
1.08E+03,3.03E-02,,,2.51E+02,-3.17
1.07E+03,5.22E-02,,,2.53E+02,-3.33
1.07E+03,4.71E-02,,,2.56E+02,-3.36
1.07E+03,2.69E-02,,,2.59E+02,-3.48
1.06E+03,3.20E-02,,,2.64E+02,-3.36
1.06E+03,4.04E-02,,,2.77E+02,-2.44
1.06E+03,5.05E-02,,,2.83E+02,-2.18
1.05E+03,4.04E-02,,,2.90E+02,-1.78
1.05E+03,3.03E-02,,,2.93E+02,-1.89
1.04E+03,4.38E-02,,,2.96E+02,-2.03
1.04E+03,3.87E-02,,,2.99E+02,-2.12
1.04E+03,3.70E-02,,,3.03E+02,-2.10
1.03E+03,3.70E-02,,,3.06E+02,-2.15
1.03E+03,3.20E-02,,,3.08E+02,-2.33
1.03E+03,1.52E-02,,,3.10E+02,-2.52
1.02E+03,3.37E-02,,,3.13E+02,-2.69
1.02E+03,5.05E-02,,,3.16E+02,-2.78
1.01E+03,3.03E-02,,,3.18E+02,-2.98
1.01E+03,4.04E-02,,,3.20E+02,-3.20
1.01E+03,5.22E-02,,,3.25E+02,-2.93
1.00E+03,3.70E-02,,,3.30E+02,-2.89
9.98E+02,3.20E-02,,,3.32E+02,-3.09
9.94E+02,4.38E-02,,,3.34E+02,-3.28
9.90E+02,4.54E-02,,,3.36E+02,-3.48
9.86E+02,6.40E-02,,,3.51E+02,-2.25
9.82E+02,2.86E-02,,,3.66E+02,-1.07
9.79E+02,2.86E-02,,,3.68E+02,-1.16
9.76E+02,4.21E-02,,,3.72E+02,-1.20
9.72E+02,4.04E-02,,,3.78E+02,-1.01
9.68E+02,5.72E-02,,,3.82E+02,-1.06
9.63E+02,3.87E-02,,,3.84E+02,-1.16
9.59E+02,2.02E-02,,,3.87E+02,-1.22
9.56E+02,4.88E-02,,,3.91E+02,-1.32
9.52E+02,5.39E-02,,,3.96E+02,-1.18
9.48E+02,3.03E-02,,,3.99E+02,-1.24
9.44E+02,3.03E-02,,,4.02E+02,-1.29
9.39E+02,1.68E-02,,,4.06E+02,-1.35
9.36E+02,3.87E-02,,,4.10E+02,-1.32
9.32E+02,3.20E-02,,,4.18E+02,-0.92
9.29E+02,3.03E-02,,,4.21E+02,-0.97
9.25E+02,4.04E-02,,,4.24E+02,-1.04
9.21E+02,3.20E-02,,,4.27E+02,-1.11
9.17E+02,3.70E-02,,,4.30E+02,-1.19
9.13E+02,3.37E-02,,,4.33E+02,-1.27
9.10E+02,3.03E-02,,,4.37E+02,-1.32
9.06E+02,3.03E-02,,,4.41E+02,-1.27
9.02E+02,4.54E-02,,,4.47E+02,-1.06
8.98E+02,3.53E-02,,,4.52E+02,-0.83
8.94E+02,2.86E-02,,,4.56E+02,-0.83
8.91E+02,3.03E-02,,,4.60E+02,-0.87
8.86E+02,3.87E-02,,,4.64E+02,-0.89
8.83E+02,3.20E-02,,,4.68E+02,-0.90
8.78E+02,3.53E-02,,,4.71E+02,-0.97
8.74E+02,3.87E-02,,,4.74E+02,-1.02
8.71E+02,3.53E-02,,,4.78E+02,-1.04
8.67E+02,5.05E-02,,,4.81E+02,-1.12
8.63E+02,1.52E-02,,,4.84E+02,-1.22
8.59E+02,3.37E-02,,,4.88E+02,-1.21
8.55E+02,5.55E-02,,,4.93E+02,-0.99
8.52E+02,4.38E-02,,,4.98E+02,-0.94
8.48E+02,3.03E-02,,,5.02E+02,-0.91
8.44E+02,2.52E-02,,,5.05E+02,-0.95
8.41E+02,4.04E-02,,,5.10E+02,-0.85
8.36E+02,3.37E-02,,,5.16E+02,-0.64
8.33E+02,3.20E-02,,,5.19E+02,-0.74
8.29E+02,3.20E-02,,,5.22E+02,-0.79
8.25E+02,5.22E-02,,,5.28E+02,-0.61
8.21E+02,3.70E-02,,,5.35E+02,-0.36
8.17E+02,5.89E-02,,,5.38E+02,-0.36
8.13E+02,5.39E-02,,,5.41E+02,-0.40
8.09E+02,5.05E-02,,,5.44E+02,-0.46
8.05E+02,4.04E-02,,,5.48E+02,-0.52
8.02E+02,4.71E-02,,,5.52E+02,-0.57
7.98E+02,6.73E-02,,,5.55E+02,-0.64
7.94E+02,3.70E-02,,,5.58E+02,-0.72
7.90E+02,4.38E-02,,,5.61E+02,-0.78
7.86E+02,3.87E-02,,,5.64E+02,-0.85
7.83E+02,5.05E-02,,,5.67E+02,-0.94
7.79E+02,4.71E-02,,,5.72E+02,-0.86
7.75E+02,3.20E-02,,,5.75E+02,-0.83
7.71E+02,4.88E-02,,,5.81E+02,-0.73
7.67E+02,6.56E-02,,,5.84E+02,-0.77
7.63E+02,5.05E-02,,,5.87E+02,-0.86
7.60E+02,5.55E-02,,,5.91E+02,-0.89
7.56E+02,4.54E-02,,,6.03E+02,0.05
