30.01	59
30.03	50
30.05	61
30.07	54
30.09	54
30.11	61
30.13	49
30.15	48
30.17	57
30.19	62
30.21	70
30.23	63
30.25	61
30.27	65
30.29	63
30.31	66
30.33	56
30.35	53
30.37	52
30.39	65
30.41	58
30.43	42
30.45	62
30.47	62
30.49	64
30.51	41
30.53	47
30.55	42
30.57	48
30.59	57
30.61	55
30.63	55
30.65	62
30.67	52
30.69	64
30.71	57
30.73	57
30.75	73
30.77	41
30.79	55
30.81	49
30.83	69
30.85	49
30.87	55
30.89	60
30.91	61
30.93	54
30.95	45
30.97	56
30.99	58
31.01	54
31.03	50
31.05	50
31.07	53
31.09	53
31.11	45
31.13	55
31.15	55
31.17	55
31.19	63
31.21	56
31.23	39
31.25	72
31.27	53
31.29	61
31.31	54
31.33	51
31.35	55
31.37	59
31.39	67
31.41	48
31.43	49
31.45	54
31.47	48
31.49	61
31.51	62
31.53	61
31.55	52
31.57	64
31.59	60
31.61	56
31.63	62
31.65	52
31.67	68
31.69	51
31.71	58
31.73	60
31.75	49
31.77	55
31.79	30
31.81	48
31.83	55
31.85	58
31.87	54
31.89	44
31.91	54
31.93	53
31.95	53
31.97	50
31.99	47
32.01	53
32.03	51
32.05	57
32.07	62
32.09	50
32.11	52
32.13	56
32.15	50
32.17	50
32.19	54
32.21	44
32.23	57
32.25	50
32.27	55
32.29	60
32.31	54
32.33	46
32.35	54
32.37	62
32.39	47
32.41	46
32.43	53
32.45	58
32.47	55
32.49	54
32.51	68
32.53	53
32.55	49
32.57	51
32.59	51
32.61	53
32.63	51
32.65	37
32.67	49
32.69	57
32.71	54
32.73	45
32.75	55
32.77	48
32.79	61
32.81	64
32.83	63
32.85	52
32.87	57
32.89	48
32.91	61
32.93	43
32.95	62
32.97	42
32.99	45
33.01	37
33.03	50
33.05	46
33.07	60
33.09	76
33.11	53
33.13	54
33.15	44
33.17	65
33.19	43
33.21	49
33.23	57
33.25	48
33.27	43
33.29	47
33.31	51
33.33	47
33.35	40
33.37	58
33.39	44
33.41	53
33.43	66
33.45	53
33.47	48
33.49	43
33.51	53
33.53	47
33.55	59
33.57	48
33.59	51
33.61	41
33.63	49
33.65	46
33.67	40
33.69	43
33.71	63
33.73	56
33.75	50
33.77	50
33.79	49
33.81	60
33.83	53
33.85	52
33.87	55
33.89	54
33.91	46
33.93	39
33.95	51
33.97	64
33.99	47
34.01	52
34.03	43
34.05	47
34.07	53
34.09	62
34.11	46
34.13	52
34.15	46
34.17	48
34.19	56
34.21	52
34.23	57
34.25	46
34.27	52
34.29	38
34.31	52
34.33	60
34.35	52
34.37	48
34.39	50
34.41	59
34.43	63
34.45	60
34.47	71
34.49	51
34.51	35
34.53	60
34.55	55
34.57	56
34.59	47
34.61	54
34.63	51
34.65	65
34.67	47
34.69	35
34.71	53
34.73	43
34.75	60
34.77	50
34.79	53
34.81	54
34.83	57
34.85	59
34.87	52
34.89	65
34.91	56
34.93	44
34.95	51
34.97	62
34.99	54
35.01	50
35.03	39
35.05	54
35.07	43
35.09	52
35.11	55
35.13	50
35.15	50
35.17	64
35.19	52
35.21	51
35.23	56
35.25	63
35.27	55
35.29	48
35.31	46
35.33	59
35.35	55
35.37	65
35.39	52
35.41	53
35.43	62
35.45	45
35.47	74
35.49	57
35.51	48
35.53	50
35.55	60
35.57	48
35.59	50
35.61	54
35.63	43
35.65	43
35.67	55
35.69	62
35.71	55
35.73	54
35.75	67
35.77	65
35.79	52
35.81	43
35.83	41
35.85	63
35.87	68
35.89	52
35.91	77
35.93	59
35.95	54
35.97	59
35.99	74
36.01	60
36.03	82
36.05	77
36.07	71
36.09	69
36.11	67
36.13	63
36.15	56
36.17	73
36.19	79
36.21	74
36.23	66
36.25	63
36.27	63
36.29	62
36.31	64
36.33	72
36.35	65
36.37	66
36.39	79
36.41	59
36.43	82
36.45	84
36.47	77
36.49	70
36.51	89
36.53	74
36.55	76
36.57	81
36.59	78
36.61	97
36.63	72
36.65	84
36.67	83
36.69	92
36.71	87
36.73	86
36.75	83
36.77	102
36.79	90
36.81	93
36.83	95
36.85	84
36.87	87
36.89	108
36.91	85
36.93	103
36.95	110
36.97	101
36.99	104
37.01	114
37.03	102
37.05	107
37.07	104
37.09	103
37.11	115
37.13	120
37.15	107
37.17	98
37.19	114
37.21	99
37.23	136
37.25	131
37.27	127
37.29	142
37.31	142
37.33	156
37.35	129
37.37	162
37.39	156
37.41	142
37.43	174
37.45	193
37.47	173
37.49	187
37.51	149
37.53	174
37.55	187
37.57	200
37.59	220
37.61	213
37.63	241
37.65	247
37.67	248
37.69	278
37.71	279
37.73	287
37.75	313
37.77	342
37.79	338
37.81	362
37.83	392
37.85	430
37.87	486
37.89	521
37.91	549
37.93	708
37.95	721
37.97	786
37.99	879
38.01	946
38.03	1171
38.05	1255
38.07	1482
38.09	1685
38.11	1850
38.13	2185
38.15	2364
38.17	2620
38.19	2949
38.21	3154
38.23	3375
38.25	3846
38.27	3928
38.29	4186
38.31	4260
38.33	4395
38.35	4412
38.37	4520
38.39	4474
38.41	4418
38.43	4290
38.45	4116
38.47	3880
38.49	3713
38.51	3570
38.53	3190
38.55	2884
38.57	2606
38.59	2335
38.61	2118
38.63	1957
