2Theta,I
47.76095738,0.8843
47.78114082,1.06381
47.80132425,1.22602
47.82150768,1.34398
47.84169112,1.52976
47.86187455,1.95566
47.88205798,2.67924
47.90224142,3.99497
47.92242485,5.83954
47.94260828,8.62321
47.96279172,12.485
47.98297515,17.19329
48.00315858,21.7085
48.02334202,24.23262
48.04352545,23.40809
48.06370888,19.54936
48.08389232,14.03939
48.10407575,8.93666
48.12425918,5.40481
48.14444262,3.29472
48.16462605,2.03642
48.18480948,1.12207
48.20499292,0.57832
