2Theta,I
37.56832353,0.84188
37.58850696,1.05383
37.60869039,1.40436
37.62887383,1.87937
37.64905726,2.54941
37.66924069,3.63842
37.68942413,5.34301
37.70960756,7.79155
37.72979099,11.24013
37.74997443,15.06845
37.77015786,18.02282
37.79034129,18.97502
37.81052473,17.25435
37.83070816,13.33001
37.85089159,8.85334
37.87107503,5.09077
37.89125846,2.53962
37.91144189,1.2459
37.93162533,0.78596
