2Theta,I
36.82153649,0.85226
36.84171993,1.31127
36.86190336,1.97853
36.88208679,2.86138
36.90227023,3.91973
36.92245366,4.79494
36.94263709,5.17648
36.96282053,4.91006
36.98300396,3.98259
37.00318739,2.76476
37.02337083,1.67879
37.04355426,1.10213
37.06373769,0.77192
